"Method","Time (ms)","Avg. Time (ms)","Own Time (ms)","Count"
"org.apache.coyote.http11.Http11InputBuffer.parseHeaders() Http11InputBuffer.java","751","0.9","18","777"
"org.apache.coyote.http11.Http11InputBuffer.parseHeader() Http11InputBuffer.java","732","0.1","301","5439"
"org.apache.tomcat.util.buf.MessageBytes.recycle() MessageBytes.java","713","< 0.1","307","48096"
"org.apache.tomcat.util.http.ValuesEnumerator.findNext() MimeHeaders.java","712","0.1","130","6198"
"org.apache.tomcat.util.http.parser.HttpParser.readToken(Reader) HttpParser.java","710","0.3","200","2322"
"java.nio.CharBuffer.limit(int) CharBuffer.java","699","< 0.1","467","107969"
"org.apache.tomcat.util.buf.ByteChunk.equalsIgnoreCase(String) ByteChunk.java","652","< 0.1","392","55098"
"org.apache.coyote.Request.recycle() Request.java","629","0.4","72","1552"
"org.apache.tomcat.util.buf.MessageBytes.toString() MessageBytes.java","628","< 0.1","52","18774"
"org.apache.coyote.http11.Http11InputBuffer.fill(boolean) Http11InputBuffer.java","612","0.3","19","1545"
"org.apache.tomcat.util.net.NioEndpoint$NioSocketWrapper.read(boolean, ByteBuffer) NioEndpoint.java","552","0.3","26","1545"
"org.apache.tomcat.util.buf.ByteChunk.toString() ByteChunk.java","538","0.2","17","2331"
"org.apache.tomcat.util.http.MimeHeaders.getValue(String) MimeHeaders.java","529","< 0.1","130","6196"
"org.apache.tomcat.util.net.NioEndpoint$Poller.processKey(SelectionKey, NioEndpoint$NioSocketWrapper) NioEndpoint.java","519","0.6","32","777"
"org.apache.tomcat.util.http.MimeHeaders.values(String) MimeHeaders.java","518","0.1","18","3876"
"org.apache.tomcat.util.buf.StringCache.toString(ByteChunk) StringCache.java","515","0.2","31","2331"
"org.apache.catalina.mapper.Mapper.map(MessageBytes, MessageBytes, String, MappingData) Mapper.java","511","0.6","13","777"
"org.apache.catalina.core.ContainerBase.logAccess(Request, Response, long, boolean) ContainerBase.java","500","0.3","22","1552"
"org.apache.tomcat.util.http.ValuesEnumerator.<init>(MimeHeaders, String) MimeHeaders.java","500","0.1","28","3876"
"org.apache.tomcat.util.http.ValuesEnumerator.nextElement() MimeHeaders.java","490","0.2","11","2322"
"org.apache.catalina.mapper.Mapper.internalMap(CharChunk, CharChunk, String, MappingData) Mapper.java","489","0.6","25","777"
"org.apache.tomcat.util.http.ValuesEnumerator.nextElement() MimeHeaders.java","479","0.2","17","2322"
"org.apache.tomcat.util.buf.ByteChunk.toStringInternal() ByteChunk.java","466","0.2","50","2331"
"org.apache.catalina.core.AccessLogAdapter.log(Request, Response, long) AccessLogAdapter.java","461","0.5","3","776"
"org.apache.catalina.valves.AbstractAccessLogValve.log(Request, Response, long) AbstractAccessLogValve.java","457","0.5","51","776"
"sun.nio.ch.SelectorImpl.select(long) SelectorImpl.java","452","0.2","9","1553"
"sun.nio.ch.SelectorImpl.lockAndDoSelect(Consumer, long) SelectorImpl.java","442","0.2","15","1553"
"org.apache.tomcat.util.net.NioEndpoint$NioSocketWrapper.fillReadBuffer(boolean, ByteBuffer) NioEndpoint.java","432","0.2","17","1545"
"org.apache.tomcat.util.http.MimeHeaders.clear() MimeHeaders.java","421","0.1","30","3104"
"org.apache.coyote.http11.Http11InputBuffer.nextRequest() Http11InputBuffer.java","420","0.5","8","776"
"sun.nio.ch.KQueueSelectorImpl.doSelect(Consumer, long) KQueueSelectorImpl.java","414","0.2","62","1553"
"org.apache.tomcat.util.net.NioChannel.read(ByteBuffer) NioChannel.java","407","0.2","8","1545"
"sun.nio.ch.SocketChannelImpl.read(ByteBuffer) SocketChannelImpl.java","398","0.2","57","1545"
"org.apache.tomcat.util.buf.AbstractChunk.getLength() AbstractChunk.java","398","< 0.1","398","187572"
"org.apache.tomcat.util.http.MimeHeaderField.recycle() MimeHeaders.java","390","< 0.1","69","10856"
"org.apache.catalina.connector.CoyoteAdapter.normalize(MessageBytes, boolean) CoyoteAdapter.java","387","0.4","15","777"
"org.apache.tomcat.util.buf.Ascii.toLower(int) Ascii.java","374","< 0.1","374","162792"
"org.apache.catalina.realm.RealmBase.findSecurityConstraints(Request, Context) RealmBase.java","364","0.4","61","777"
"com.yourkit.an.ar.invoke(Object, Object[]) a","363","< 0.1","65","4821"
"java.nio.CharBuffer.position(int) CharBuffer.java","363","< 0.1","242","55943"
"org.apache.tomcat.util.buf.AbstractChunk.indexOf(String, int, int, int) AbstractChunk.java","360","0.2","185","1554"
"java.util.concurrent.ThreadPoolExecutor.runWorker(ThreadPoolExecutor$Worker) ThreadPoolExecutor.java","333","166","2","2"
"java.util.concurrent.ThreadPoolExecutor$Worker.run() ThreadPoolExecutor.java","333","166","0","2"
"java.nio.CharBuffer.mark() CharBuffer.java","331","< 0.1","222","51265"
"java.nio.CharBuffer.reset() CharBuffer.java","330","< 0.1","220","51264"
"org.apache.coyote.AbstractProcessor.parseHost(MessageBytes) AbstractProcessor.java","325","0.4","22","777"
"org.apache.coyote.AbstractProtocol$ConnectionHandler.release(Processor) AbstractProtocol.java","322","0.4","11","784"
"org.apache.coyote.http11.Http11Processor.finishResponse() Http11Processor.java","310","0.4","3","776"
"org.apache.coyote.http11.Http11OutputBuffer.end() Http11OutputBuffer.java","308","0.1","5","1552"
"org.apache.tomcat.util.buf.ByteChunk.recycle() ByteChunk.java","304","< 0.1","204","48096"
"org.apache.coyote.http11.filters.IdentityOutputFilter.end() IdentityOutputFilter.java","302","0.3","3","776"
"org.apache.tomcat.util.net.AbstractEndpoint.processSocket(SocketWrapperBase, SocketEvent, boolean) AbstractEndpoint.java","301","0.3","14","777"
"org.apache.coyote.http11.Http11OutputBuffer$SocketOutputBuffer.end() Http11OutputBuffer.java","298","0.3","4","776"
"org.apache.tomcat.util.net.SocketWrapperBase.flush(boolean) SocketWrapperBase.java","294","0.3","3","776"
"java.nio.charset.CharsetDecoder.decode(ByteBuffer) CharsetDecoder.java","292","0.1","53","2331"
"org.apache.coyote.http11.Http11OutputBuffer.write(ByteChunk) Http11OutputBuffer.java","291","< 0.1","133","12400"
"org.apache.tomcat.util.net.SocketWrapperBase.flushBlocking() SocketWrapperBase.java","290","0.3","6","776"
"org.apache.catalina.connector.ResponseFacade.setHeader(String, String) ResponseFacade.java","284","0.1","21","2331"
"org.apache.coyote.http11.Http11Processor.recycle() Http11Processor.java","280","0.3","12","776"
"java.nio.HeapCharBuffer.put(String, int, int) HeapCharBuffer.java","279","< 0.1","168","25632"
"org.apache.tomcat.util.http.parser.Host.parse(MessageBytes) Host.java","277","0.3","5","777"
"java.nio.HeapCharBuffer.put(char[], int, int) HeapCharBuffer.java","277","< 0.1","166","25632"
"java.util.ResourceBundle.getBundle(String, Locale) ResourceBundle.java","274","0.3","8","777"
"org.apache.tomcat.util.threads.ThreadPoolExecutor.execute(Runnable) ThreadPoolExecutor.java","260","0.3","6","777"
"sun.nio.ch.IOUtil.read(FileDescriptor, ByteBuffer, long, NativeDispatcher) IOUtil.java","259","0.1","8","1545"
"org.apache.coyote.http11.Http11OutputBuffer.nextRequest() Http11OutputBuffer.java","258","0.1","10","1552"
"java.util.concurrent.ScheduledThreadPoolExecutor$ScheduledFutureTask.run() ScheduledThreadPoolExecutor.java","257","3","1","75"
