"Method","Time (ms)","Avg. Time (ms)","Own Time (ms)","Count"
"java.lang.AbstractStringBuilder.ensureCapacityInternal(int) AbstractStringBuilder.java","190","< 0.1","111","44477"
"org.cactoos.text.Trimmed.<init>(Text) Trimmed.java","2396","< 0.1","478","44198"
"java.util.concurrent.locks.AbstractQueuedSynchronizer.compareAndSetState(int, int) AbstractQueuedSynchronizer.java","83","< 0.1","83","42333"
"java.util.concurrent.locks.AbstractQueuedSynchronizer.release(int) AbstractQueuedSynchronizer.java","424","< 0.1","257","42333"
"java.util.concurrent.locks.AbstractQueuedSynchronizer.signalNext(AbstractQueuedSynchronizer$Node) AbstractQueuedSynchronizer.java","83","< 0.1","83","42333"
"java.util.concurrent.locks.ReentrantLock$Sync.tryRelease(int) ReentrantLock.java","83","< 0.1","83","42333"
"java.util.concurrent.locks.ReentrantLock.unlock() ReentrantLock.java","594","< 0.1","169","42332"
"java.util.concurrent.locks.ReentrantLock$NonfairSync.initialTryLock() ReentrantLock.java","253","< 0.1","170","42332"
"java.util.concurrent.locks.ReentrantLock.lock() ReentrantLock.java","589","< 0.1","168","42063"
"java.util.concurrent.locks.ReentrantLock$Sync.lock() ReentrantLock.java","420","< 0.1","168","42063"
"java.nio.Buffer.limit(int) Buffer.java","81","< 0.1","81","40986"
"java.nio.ByteBuffer.position(int) ByteBuffer.java","244","< 0.1","163","40986"
"java.lang.invoke.DirectMethodHandle$Holder.newInvokeSpecial(Object, Object) DirectMethodHandle$Holder","359","< 0.1","149","39584"
"java.lang.invoke.Invokers$Holder.linkToTargetMethod(Object, Object) Invokers$Holder","504","< 0.1","145","39584"
"java.nio.ByteBuffer.limit(int) ByteBuffer.java","236","< 0.1","158","39103"
"sun.nio.ch.NativeThread.current() NativeThread.java","81","< 0.1","81","39103"
"sun.nio.ch.NioSocketImpl.configureNonBlockingIfNeeded(FileDescriptor, boolean) NioSocketImpl.java","78","< 0.1","78","39103"
"java.lang.String.checkBoundsBeginEnd(int, int, int) String.java","202","< 0.1","135","39076"
"java.nio.ByteBuffer.rewind() ByteBuffer.java","77","< 0.1","77","38834"
"java.nio.DirectByteBuffer.address() DirectByteBuffer.java","233","< 0.1","156","38834"
"java.nio.MappedByteBuffer.limit(int) MappedByteBuffer.java","549","< 0.1","157","38834"
"java.nio.MappedByteBuffer.limit(int) MappedByteBuffer.java","392","< 0.1","156","38834"
"java.nio.MappedByteBuffer.position(int) MappedByteBuffer.java","548","< 0.1","156","38834"
"java.nio.MappedByteBuffer.position(int) MappedByteBuffer.java","391","< 0.1","158","38834"
"java.nio.MappedByteBuffer.rewind() MappedByteBuffer.java","393","< 0.1","156","38834"
"java.nio.MappedByteBuffer.rewind() MappedByteBuffer.java","236","< 0.1","158","38834"
"java.util.concurrent.atomic.AtomicLong.addAndGet(long) AtomicLong.java","78","< 0.1","78","38834"
"sun.nio.ch.Util.getTemporaryDirectBuffer(int) Util.java","2600","< 0.1","239","38834"
"sun.nio.ch.Util.isBufferTooLarge(ByteBuffer) Util.java","76","< 0.1","76","38834"
"sun.nio.ch.Util.offerFirstTemporaryDirectBuffer(ByteBuffer) Util.java","1491","< 0.1","315","38834"
"sun.nio.ch.Util$BufferCache.get(int) Util.java","1338","< 0.1","318","38834"
"sun.nio.ch.Util$BufferCache.next(int) Util.java","77","< 0.1","77","38834"
"sun.nio.ch.Util$BufferCache.offerFirst(ByteBuffer) Util.java","79","< 0.1","79","38834"
"java.net.Socket$SocketInputStream.read() Socket.java","10786","0.2","304","38296"
"java.net.Socket$SocketInputStream.read(byte[], int, int) Socket.java","10481","0.2","167","38296"
"java.nio.Buffer.checkIndex(int) Buffer.java","231","< 0.1","154","38296"
"java.nio.ByteBuffer.get(byte[], int, int) ByteBuffer.java","2094","< 0.1","313","38296"
"java.nio.ByteBuffer.getArray(int, byte[], int, int) ByteBuffer.java","1009","< 0.1","154","38296"
"java.nio.DirectByteBuffer.get(int) DirectByteBuffer.java","854","< 0.1","312","38296"
"jdk.internal.misc.ScopedMemoryAccess.getByte(MemorySessionImpl, Object, long) ScopedMemoryAccess.java","233","< 0.1","156","38296"
"jdk.internal.misc.ScopedMemoryAccess.getByteInternal(MemorySessionImpl, Object, long) ScopedMemoryAccess.java","77","< 0.1","77","38296"
"sun.nio.ch.NioSocketImpl.beginRead() NioSocketImpl.java","391","< 0.1","234","38296"
"sun.nio.ch.NioSocketImpl.endRead(boolean) NioSocketImpl.java","77","< 0.1","77","38296"
"sun.nio.ch.NioSocketImpl.implRead(byte[], int, int) NioSocketImpl.java","7936","0.2","396","38296"
"sun.nio.ch.NioSocketImpl.read(byte[], int, int) NioSocketImpl.java","9665","0.2","408","38296"
"sun.nio.ch.NioSocketImpl.tryRead(FileDescriptor, byte[], int, int) NioSocketImpl.java","6992","0.1","475","38296"
"sun.nio.ch.NioSocketImpl$1.read(byte[], int, int) NioSocketImpl.java","10314","0.2","566","38296"
"sun.nio.ch.SocketDispatcher.read(FileDescriptor, long, int) SocketDispatcher.java","150","< 0.1","150","38296"
"org.takes.misc.Opt$Single.<init>(Object) Opt.java","76","< 0.1","76","38295"
"org.takes.misc.Opt$Empty.<init>() Opt.java","92","< 0.1","92","38292"
"java.lang.String.substring(int, int) String.java","1095","< 0.1","261","37193"
"org.takes.rq.RqLive.data(InputStream, Opt, boolean) RqLive.java","11339","0.3","530","36946"
"java.net.Socket$SocketInputStream.available() Socket.java","554","< 0.1","146","35866"
"sun.nio.ch.NioSocketImpl.available() NioSocketImpl.java","260","< 0.1","189","35866"
"sun.nio.ch.NioSocketImpl$1.available() NioSocketImpl.java","408","< 0.1","147","35866"
"java.io.ByteArrayOutputStream.ensureCapacity(int) ByteArrayOutputStream.java","75","< 0.1","71","35596"
"java.io.ByteArrayOutputStream.write(int) ByteArrayOutputStream.java","221","< 0.1","145","35596"
"org.takes.rq.RqLive.legalCharacter(Opt, ByteArrayOutputStream, Integer) RqLive.java","72","< 0.1","72","35596"
"java.util.HashMap.getNode(Object) HashMap.java","323","< 0.1","112","32359"
"java.util.LinkedList$ListItr.checkForComodification() LinkedList.java","55","< 0.1","55","32070"
"java.util.LinkedList$ListItr.next() LinkedList.java","168","< 0.1","113","32070"
"org.cactoos.text.TextOf.<init>(String) TextOf.java","1965","< 0.1","122","31801"
"org.cactoos.text.TextOf.<init>(CharSequence, Charset) TextOf.java","1842","< 0.1","271","31801"
"java.util.concurrent.atomic.AtomicInteger.intValue() AtomicInteger.java","50","< 0.1","50","30140"
"org.cactoos.iterator.IteratorOf.hasNext() IteratorOf.java","154","< 0.1","103","30140"
"java.util.regex.Pattern.lambda$Range$17(int, int, int) Pattern.java","50","< 0.1","50","29863"
"java.util.AbstractSequentialList.<init>() AbstractSequentialList.java","207","< 0.1","82","23708"
"java.util.LinkedList.<init>() LinkedList.java","297","< 0.1","90","23708"
"java.lang.Character.codePointAt(CharSequence, int) Character.java","268","< 0.1","76","22099"
"java.util.regex.Pattern.lambda$negate$7(Pattern$CharPredicate, int) Pattern.java","37","< 0.1","37","22099"
"org.cactoos.text.TextOf.<init>(Bytes) TextOf.java","740","< 0.1","77","22090"
"org.cactoos.bytes.BytesOf.<init>(CharSequence) BytesOf.java","497","< 0.1","80","21279"
"org.cactoos.text.TextOf.<init>(CharSequence) TextOf.java","1377","< 0.1","189","21010"
"java.util.ArrayList.<init>() ArrayList.java","188","< 0.1","78","20748"
"java.util.ArrayList.grow() ArrayList.java","183","< 0.1","75","20209"
"java.util.ArrayList.grow(int) ArrayList.java","107","< 0.1","107","20209"
"org.cactoos.scalar.IoChecked.<init>(Scalar) IoChecked.java","35","< 0.1","35","20177"
"java.lang.StringBuilder.append(char) StringBuilder.java","171","< 0.1","69","19665"
"java.lang.AbstractStringBuilder.append(char) AbstractStringBuilder.java","101","< 0.1","68","19664"
"java.lang.String.toLowerCase(Locale) String.java","1385","< 0.1","67","19398"
"java.lang.StringLatin1.toLowerCase(String, byte[], Locale) StringLatin1.java","1317","< 0.1","743","19398"
"org.cactoos.text.Lowered.<init>(Text) Lowered.java","1341","< 0.1","67","19398"
