"Method","Time (ms)","Avg. Time (ms)","Own Time (ms)","Count"
"java.lang.ref.Reference.refersTo(Object) Reference.java","110","< 0.1","74","16573"
"java.lang.ref.Reference.refersToImpl(Object) Reference.java","36","< 0.1","36","16573"
"java.nio.ByteBuffer.limit(int) ByteBuffer.java","108","< 0.1","72","16351"
"org.apache.tomcat.util.buf.MessageBytes.toString() MessageBytes.java","219","< 0.1","43","15897"
"org.apache.tomcat.util.buf.ByteChunk.getBytes() ByteChunk.java","30","< 0.1","30","14398"
"java.util.concurrent.ConcurrentHashMap.get(Object) ConcurrentHashMap.java","269","< 0.1","96","14294"
"java.util.concurrent.ConcurrentHashMap.tabAt(ConcurrentHashMap$Node[], int) ConcurrentHashMap.java","29","< 0.1","29","13540"
"org.apache.catalina.connector.RequestFacade.checkFacade() RequestFacade.java","28","< 0.1","28","13283"
"java.nio.ByteBuffer.array() ByteBuffer.java","30","< 0.1","30","13126"
"org.apache.tomcat.util.buf.MessageBytes.setString(String) MessageBytes.java","26","< 0.1","26","12433"
"java.util.concurrent.locks.AbstractQueuedSynchronizer.signalNext(AbstractQueuedSynchronizer$Node) AbstractQueuedSynchronizer.java","43","< 0.1","33","12226"
"java.lang.ref.ReferenceQueue.poll() ReferenceQueue.java","26","< 0.1","26","12054"
"org.apache.tomcat.util.http.parser.Host$MessageBytesReader.read() Host.java","25","< 0.1","25","11790"
"java.nio.HeapByteBuffer.put(byte[], int, int) HeapByteBuffer.java","320","< 0.1","100","11778"
"org.apache.coyote.http11.Http11OutputBuffer.checkLengthBeforeWrite(int) Http11OutputBuffer.java","24","< 0.1","24","11778"
"org.apache.coyote.http11.Http11OutputBuffer.write(MessageBytes) Http11OutputBuffer.java","745","< 0.1","65","10468"
"org.apache.coyote.http11.Http11OutputBuffer.write(ByteChunk) Http11OutputBuffer.java","416","< 0.1","88","10468"
"org.apache.tomcat.util.buf.MessageBytes.getCharset() MessageBytes.java","22","< 0.1","22","10468"
"org.apache.tomcat.util.buf.MessageBytes.toBytes() MessageBytes.java","265","< 0.1","88","10468"
"org.apache.tomcat.util.buf.MessageBytes.setBytes(byte[], int, int) MessageBytes.java","24","< 0.1","24","9825"
"java.lang.String.toCharArray() String.java","103","< 0.1","44","9813"
"java.lang.StringLatin1.toChars(byte[]) StringLatin1.java","59","< 0.1","58","9813"
"org.apache.tomcat.util.buf.MessageBytes.toBytesSimple(char[], int, int) MessageBytes.java","52","< 0.1","52","9813"
"java.util.WeakHashMap.expungeStaleEntries() WeakHashMap.java","61","< 0.1","41","9380"
"java.util.WeakHashMap.get(Object) WeakHashMap.java","308","< 0.1","84","9380"
