"Method","Time (ms)","Avg. Time (ms)","Own Time (ms)","Count"
"java.util.concurrent.ConcurrentHashMap$BaseIterator.<init>(ConcurrentHashMap$Node[], int, int, int, ConcurrentHashMap) ConcurrentHashMap.java","5","< 0.1","1","160"
"java.util.concurrent.ConcurrentHashMap$Traverser.<init>(ConcurrentHashMap$Node[], int, int, int) ConcurrentHashMap.java","0.5","< 0.1","0.5","160"
"java.util.Date.<init>(long) Date.java","0.4","< 0.1","0.4","128"
"java.util.concurrent.ConcurrentHashMap$KeyIterator.<init>(ConcurrentHashMap$Node[], int, int, int, ConcurrentHashMap) ConcurrentHashMap.java","5","< 0.1","0.9","119"
"java.io.File.<init>(File, String) File.java","20","0.2","0.9","78"
"java.util.concurrent.ConcurrentHashMap$Node.<init>(int, Object, Object) ConcurrentHashMap.java","0.2","< 0.1","0.2","72"
"java.util.Collections$UnmodifiableCollection$1.<init>(Collections$UnmodifiableCollection) Collections.java","5","< 0.1","0.4","59"
"java.util.concurrent.ConcurrentLinkedQueue$Node.<init>(Object) ConcurrentLinkedQueue.java","2","< 0.1","0.2","58"
"java.util.concurrent.locks.AbstractOwnableSynchronizer.<init>() AbstractOwnableSynchronizer.java","0.1","< 0.1","0.1","42"
"java.util.concurrent.locks.AbstractQueuedSynchronizer.<init>() AbstractQueuedSynchronizer.java","0.3","< 0.1","0.2","42"
"java.util.concurrent.ConcurrentHashMap$ValueIterator.<init>(ConcurrentHashMap$Node[], int, int, int, ConcurrentHashMap) ConcurrentHashMap.java","1","< 0.1","0.2","41"
"java.util.concurrent.locks.AbstractQueuedSynchronizer$ExclusiveNode.<init>() AbstractQueuedSynchronizer.java","0.4","< 0.1","0.2","41"
"java.util.concurrent.locks.ReentrantLock.<init>() ReentrantLock.java","0.8","< 0.1","0.2","30"
"java.util.concurrent.locks.ReentrantLock$NonfairSync.<init>() ReentrantLock.java","0.6","< 0.1","0.1","30"
"java.util.concurrent.locks.ReentrantLock$Sync.<init>() ReentrantLock.java","0.4","< 0.1","0.1","30"
"java.util.TreeMap.<init>(Comparator) TreeMap.java","0.2","< 0.1","0.1","30"
"java.util.TreeMap$KeyIterator.<init>(TreeMap, TreeMap$Entry) TreeMap.java","0.2","< 0.1","0.1","30"
"java.util.TreeMap$KeySet.<init>(NavigableMap) TreeMap.java","0.3","< 0.1","0.1","30"
"java.util.TreeSet.<init>(Comparator) TreeSet.java","0.9","< 0.1","0.4","30"
"java.util.TreeSet.<init>(NavigableMap) TreeSet.java","0.3","< 0.1","0.1","30"
"org.apache.catalina.util.ContextName.<init>(String, boolean) ContextName.java","4","0.1","0.6","30"
"java.lang.Long.<init>(long) Long.java","0.1","< 0.1","0.1","24"
"java.lang.Number.<init>() Number.java","< 0.1","< 0.1","< 0.1","24"
"java.lang.ref.PhantomReference.<init>(Object, ReferenceQueue) PhantomReference.java","0.1","< 0.1","< 0.1","18"
"java.util.ArrayList.<init>() ArrayList.java","0.2","< 0.1","< 0.1","18"
"sun.nio.ch.SocketOptionRegistry$RegistryKey.<init>(SocketOption, ProtocolFamily) SocketOptionRegistry.java","< 0.1","< 0.1","< 0.1","18"
"java.io.FileDescriptor.<init>() FileDescriptor.java","< 0.1","< 0.1","< 0.1","12"
"java.io.InputStream.<init>() InputStream.java","< 0.1","< 0.1","< 0.1","12"
"java.net.Inet4Address.<init>() Inet4Address.java","0.4","< 0.1","0.3","12"
"java.net.InetAddress.<init>() InetAddress.java","0.1","< 0.1","0.1","12"
"java.net.InetAddress$InetAddressHolder.<init>() InetAddress.java","< 0.1","< 0.1","< 0.1","12"
"java.net.InetSocketAddress.<init>(InetAddress, int) InetSocketAddress.java","0.3","< 0.1","0.1","12"
"java.net.InetSocketAddress$InetSocketAddressHolder.<init>(String, InetAddress, int) InetSocketAddress.java","< 0.1","< 0.1","< 0.1","12"
"java.net.SocketAddress.<init>() SocketAddress.java","< 0.1","< 0.1","< 0.1","12"
"java.util.concurrent.locks.AbstractQueuedSynchronizer$ConditionObject.<init>(AbstractQueuedSynchronizer) AbstractQueuedSynchronizer.java","< 0.1","< 0.1","< 0.1","12"
"java.util.concurrent.Semaphore.<init>(int) Semaphore.java","0.2","< 0.1","< 0.1","12"
"java.util.concurrent.Semaphore$NonfairSync.<init>(int) Semaphore.java","0.2","< 0.1","< 0.1","12"
"java.util.concurrent.Semaphore$Sync.<init>(int) Semaphore.java","0.1","< 0.1","< 0.1","12"
"java.io.BufferedInputStream.<init>(InputStream) BufferedInputStream.java","0.6","0.1","< 0.1","6"
"java.io.BufferedInputStream.<init>(InputStream, int) BufferedInputStream.java","0.5","< 0.1","0.2","6"
"java.io.File.<init>(String, int) File.java","< 0.1","< 0.1","< 0.1","6"
"java.io.FileCleanable.<init>(FileDescriptor, Cleaner, int, long) FileCleanable.java","0.2","< 0.1","< 0.1","6"
"java.io.FileInputStream.<init>(String) FileInputStream.java","2","0.4","< 0.1","6"
"java.io.FileInputStream.<init>(File) FileInputStream.java","2","0.3","0.1","6"
"java.io.FileInputStream$1.<init>(FileInputStream) FileInputStream.java","< 0.1","< 0.1","< 0.1","6"
"java.io.FilterInputStream.<init>(InputStream) FilterInputStream.java","< 0.1","< 0.1","< 0.1","6"
"java.net.Socket.<init>(SocketImpl) Socket.java","< 0.1","< 0.1","< 0.1","6"
