"Method","Time (ms)","Avg. Time (ms)","Own Time (ms)","Count"
"org.apache.catalina.connector.Request.setAttribute(String, Object) Request.java","1017","< 0.1","132","12522"
"jdk.internal.util.Preconditions.checkFromIndexSize(int, int, int, BiFunction) Preconditions.java","27","< 0.1","27","12511"
"java.lang.Class.getComponentType() Class.java","26","< 0.1","26","12067"
"java.lang.String.<init>(byte[], byte) String.java","29","< 0.1","29","11897"
"java.nio.Buffer.checkSession() Buffer.java","78","< 0.1","52","11883"
"java.util.concurrent.locks.AbstractQueuedSynchronizer.release(int) AbstractQueuedSynchronizer.java","163","< 0.1","89","11779"
"java.lang.invoke.VarForm.getMemberName(int) VarForm.java","26","< 0.1","26","11694"
"java.lang.invoke.VarHandle.checkAccessModeThenIsDirect(VarHandle$AccessDescriptor) VarHandle.java","26","< 0.1","26","11694"
"org.apache.tomcat.util.http.parser.Host$MessageBytesReader.read() Host.java","24","< 0.1","24","11286"
"java.nio.ByteBuffer.array() ByteBuffer.java","27","< 0.1","27","11281"
"java.util.concurrent.ConcurrentHashMap.putVal(Object, Object, boolean) ConcurrentHashMap.java","339","< 0.1","211","11280"
"java.util.concurrent.ConcurrentHashMap$Node.<init>(int, Object, Object) ConcurrentHashMap.java","28","< 0.1","28","11280"
"java.util.concurrent.ConcurrentHashMap.put(Object, Object) ConcurrentHashMap.java","390","< 0.1","51","11274"
"org.apache.catalina.connector.Request.notifyAttributeAssigned(String, Object, Object) Request.java","126","< 0.1","54","11268"
"org.apache.catalina.connector.RequestFacade.setAttribute(String, Object) RequestFacade.java","1042","< 0.1","50","11268"
"java.util.concurrent.locks.ReentrantLock$Sync.tryRelease(int) ReentrantLock.java","26","< 0.1","26","11077"
"java.lang.invoke.DirectMethodHandle$Holder.newInvokeSpecial(Object, Object) DirectMethodHandle$Holder","118","< 0.1","51","10648"
"java.lang.StringLatin1.hashCode(byte[]) StringLatin1.java","23","< 0.1","23","10640"
"org.apache.tomcat.util.buf.ByteChunk.getBytes() ByteChunk.java","23","< 0.1","23","10636"
"org.apache.tomcat.util.http.MimeHeaders.getValue(String) MimeHeaders.java","595","< 0.1","71","10634"
"java.util.concurrent.locks.ReentrantLock.unlock() ReentrantLock.java","195","< 0.1","51","10252"
"java.util.concurrent.locks.ReentrantLock$NonfairSync.initialTryLock() ReentrantLock.java","76","< 0.1","51","10206"
"java.util.concurrent.ConcurrentHashMap.setTabAt(ConcurrentHashMap$Node[], int, ConcurrentHashMap$Node) ConcurrentHashMap.java","21","< 0.1","21","10028"
"java.nio.CharBuffer.arrayOffset() CharBuffer.java","21","< 0.1","21","10020"
"java.io.ByteArrayOutputStream.ensureCapacity(int) ByteArrayOutputStream.java","21","< 0.1","21","10016"
"java.io.ByteArrayOutputStream.write(int) ByteArrayOutputStream.java","64","< 0.1","43","10016"
"java.util.ArrayList.add(Object) ArrayList.java","121","< 0.1","44","10016"
"java.util.ArrayList.add(Object, Object[], int) ArrayList.java","76","< 0.1","30","10016"
"org.apache.catalina.connector.Request.getMethod() Request.java","251","< 0.1","44","10016"
"java.lang.String.toLowerCase(Locale) String.java","786","< 0.1","45","10012"
"java.lang.StringLatin1.toLowerCase(String, byte[], Locale) StringLatin1.java","740","< 0.1","417","10012"
"org.apache.tomcat.util.buf.MessageBytes.setString(String) MessageBytes.java","22","< 0.1","22","10008"
"com.yourkit.an.ar.invoke(Object, Object[]) a","818","< 0.1","150","9830"
"java.util.concurrent.locks.ReentrantLock.lock() ReentrantLock.java","168","< 0.1","48","9504"
"java.util.concurrent.locks.ReentrantLock$Sync.lock() ReentrantLock.java","120","< 0.1","48","9504"
"java.util.concurrent.ConcurrentHashMap.casTabAt(ConcurrentHashMap$Node[], int, ConcurrentHashMap$Node, ConcurrentHashMap$Node) ConcurrentHashMap.java","21","< 0.1","21","9402"
"java.util.ArrayList.<init>() ArrayList.java","107","< 0.1","45","9390"
"org.apache.catalina.connector.RequestFacade.getMethod() RequestFacade.java","288","< 0.1","41","9390"
"org.springframework.util.MimeType.isWildcardType() MimeType.java","63","< 0.1","41","9390"
"java.util.HashMap.putVal(int, Object, Object, boolean, boolean) HashMap.java","237","< 0.1","65","8818"
"java.nio.CharBuffer.array() CharBuffer.java","20","< 0.1","20","8768"
"java.nio.CharBuffer.position(int) CharBuffer.java","58","< 0.1","39","8768"
"java.util.HashMap.<init>(int, float) HashMap.java","98","< 0.1","59","8768"
"java.util.HashMap.tableSizeFor(int) HashMap.java","20","< 0.1","19","8768"
"java.nio.charset.CharsetDecoder.reset() CharsetDecoder.java","18","< 0.1","18","8141"
"java.lang.ThreadLocal.get() ThreadLocal.java","238","< 0.1","36","8140"
"java.nio.Buffer.<init>(int, int, int, int, MemorySegment) Buffer.java","239","< 0.1","56","8140"
"org.apache.coyote.AbstractProcessor.action(ActionCode, Object) AbstractProcessor.java","3279","0.4","35","8139"
"org.springframework.web.method.HandlerMethod$ReturnValueMethodParameter.getParameterType() HandlerMethod.java","17","< 0.1","17","8138"
"org.apache.tomcat.util.buf.MessageBytes.getCharset() MessageBytes.java","17","< 0.1","17","8127"
"java.nio.HeapByteBuffer.put(byte[], int, int) HeapByteBuffer.java","228","< 0.1","72","8126"
"java.util.Objects.checkFromIndexSize(int, int, int) Objects.java","52","< 0.1","34","8126"
"java.util.HashMap.put(Object, Object) HashMap.java","372","< 0.1","54","7565"
"java.util.AbstractSet.<init>() AbstractSet.java","50","< 0.1","33","7556"
"java.nio.ByteBuffer.limit(int) ByteBuffer.java","82","< 0.1","33","7513"
"java.util.concurrent.CopyOnWriteArrayList.size() CopyOnWriteArrayList.java","16","< 0.1","16","7512"
"java.util.Locale.getLanguage() Locale.java","16","< 0.1","16","7512"
"java.lang.System$2.getCarrierThreadLocal(CarrierThreadLocal) System.java","191","< 0.1","34","7502"
"java.lang.ThreadLocal.getCarrierThreadLocal() ThreadLocal.java","157","< 0.1","34","7502"
"jdk.internal.misc.CarrierThreadLocal.get() CarrierThreadLocal.java","226","< 0.1","34","7502"
"org.apache.tomcat.util.buf.ByteChunk.allocate(int, int) ByteChunk.java","16","< 0.1","16","7501"
"org.apache.tomcat.util.buf.MessageBytes.toBytes() MessageBytes.java","237","< 0.1","61","7501"
"org.apache.coyote.http11.Http11OutputBuffer.checkLengthBeforeWrite(int) Http11OutputBuffer.java","16","< 0.1","16","7500"
"java.nio.ByteBuffer.position(int) ByteBuffer.java","76","< 0.1","30","6888"
"java.util.HashMap.clear() HashMap.java","14","< 0.1","14","6886"
