"Method","Time (ms)","Avg. Time (ms)","Own Time (ms)","Count"
"org.springframework.core.annotation.AnnotatedElementUtils.hasAnnotation(AnnotatedElement, Class) AnnotatedElementUtils.java","1342","0.6","25","2139"
"org.springframework.web.method.support.HandlerMethodReturnValueHandlerComposite.selectHandler(Object, MethodParameter) HandlerMethodReturnValueHandlerComposite.java","1279","1","69","714"
"org.springframework.web.method.support.InvocableHandlerMethod.invokeForRequest(NativeWebRequest, ModelAndViewContainer, Object[]) InvocableHandlerMethod.java","1240","1","7","714"
"org.springframework.web.servlet.DispatcherServlet.getHandler(HttpServletRequest) DispatcherServlet.java","1239","1","10","714"
"org.apache.coyote.http11.Http11Processor.prepareRequest() Http11Processor.java","1234","1","75","714"
"org.apache.coyote.http11.Http11Processor.isConnectionToken(MimeHeaders, String) Http11Processor.java","1233","0.5","19","2132"
"org.springframework.web.servlet.handler.AbstractHandlerMapping.getHandler(HttpServletRequest) AbstractHandlerMapping.java","1220","1","15","714"
"org.apache.tomcat.util.http.parser.TokenList.parseTokenList(Enumeration, Collection) TokenList.java","1182","0.5","33","2133"
"org.apache.catalina.connector.CoyoteAdapter.postParseRequest(Request, Request, Response, Response) CoyoteAdapter.java","1167","1","103","714"
"org.apache.tomcat.util.net.NioEndpoint$Poller.run() NioEndpoint.java","1144","1144","51","1"
"org.apache.coyote.http11.Http11OutputBuffer.sendHeader(MessageBytes, MessageBytes) Http11OutputBuffer.java","1139","0.3","24","3557"
"org.apache.coyote.http11.Http11OutputBuffer.write(MessageBytes) Http11OutputBuffer.java","1115","0.1","336","7114"
"org.springframework.web.servlet.mvc.method.RequestMappingInfoHandlerMapping.getHandlerInternal(HttpServletRequest) RequestMappingInfoHandlerMapping.java","1081","1","3","714"
"org.springframework.web.servlet.mvc.method.RequestMappingInfoHandlerMapping.getHandlerInternal(HttpServletRequest) RequestMappingInfoHandlerMapping.java","1077","1","7","714"
"org.springframework.web.method.support.InvocableHandlerMethod.getMethodArgumentValues(NativeWebRequest, ModelAndViewContainer, Object[]) InvocableHandlerMethod.java","1070","1","14","714"
"org.springframework.web.servlet.handler.AbstractHandlerMethodMapping.getHandlerInternal(HttpServletRequest) AbstractHandlerMethodMapping.java","1055","1","12","714"
