"Method","Time (ms)","Avg. Time (ms)","Own Time (ms)","Count"
"io.netty.handler.codec.http.HttpObjectEncoder.encodeFullHttpMessage(ChannelHandlerContext, Object, List) HttpObjectEncoder.java","4429","2","72","1520"
"io.netty.channel.AbstractChannelHandlerContext.invokeChannelReadComplete(AbstractChannelHandlerContext) AbstractChannelHandlerContext.java","4428","0.9","42","4565"
"io.netty.channel.AbstractChannelHandlerContext.invokeChannelReadComplete() AbstractChannelHandlerContext.java","4365","0.9","48","4565"
"io.netty.channel.DefaultChannelPipeline$HeadContext.channelReadComplete(ChannelHandlerContext) DefaultChannelPipeline.java","4343","2","12","1522"
"io.netty.channel.AbstractChannelHandlerContext.fireChannelReadComplete() AbstractChannelHandlerContext.java","3891","1","21","3043"
"io.netty.handler.codec.ByteToMessageDecoder.channelReadComplete(ChannelHandlerContext) ByteToMessageDecoder.java","3703","2","12","1521"
"io.vertx.core.net.impl.VertxHandler.channelReadComplete(ChannelHandlerContext) VertxHandler.java","3448","2","8","1521"
"io.vertx.core.net.impl.ConnectionBase.endReadAndFlush() ConnectionBase.java","3439","2","8","1521"
"io.netty.channel.AbstractChannelHandlerContext.flush() AbstractChannelHandlerContext.java","3431","2","19","1520"
"io.netty.channel.AbstractChannelHandlerContext.invokeFlush() AbstractChannelHandlerContext.java","3171","2","11","1520"
"io.netty.channel.AbstractChannelHandlerContext.invokeFlush0() AbstractChannelHandlerContext.java","3156","2","12","1520"
"io.netty.channel.DefaultChannelPipeline$HeadContext.flush(ChannelHandlerContext) DefaultChannelPipeline.java","3140","2","8","1520"
"io.netty.channel.AbstractChannel$AbstractUnsafe.flush() AbstractChannel.java","3131","2","16","1520"
"io.netty.channel.nio.AbstractNioChannel$AbstractNioUnsafe.flush0() AbstractNioChannel.java","3049","2","12","1520"
"io.netty.channel.AbstractChannel$AbstractUnsafe.flush0() AbstractChannel.java","2995","1","17","1520"
"io.netty.channel.socket.nio.NioSocketChannel.doWrite(ChannelOutboundBuffer) NioSocketChannel.java","2941","1","62","1520"
"io.netty.handler.codec.http.HttpObjectEncoder.writeOutList(ChannelHandlerContext, List, ChannelPromise) HttpObjectEncoder.java","2687","1","13","1520"
"io.netty.handler.codec.http.HttpObjectEncoder.writePromiseCombiner(ChannelHandlerContext, List, ChannelPromise) HttpObjectEncoder.java","2639","1","34","1516"
"io.netty.buffer.AbstractByteBuf.ensureAccessible() AbstractByteBuf.java","2624","< 0.1","408","82101"
"io.netty.buffer.AbstractByteBuf.checkIndex(int, int) AbstractByteBuf.java","2585","< 0.1","340","45610"
"io.vertx.core.http.impl.VertxHttpResponseEncoder.encodeHeaders(HttpHeaders, ByteBuf) VertxHttpResponseEncoder.java","2574","1","8","1520"
"io.vertx.core.http.impl.headers.HeadersMultiMap.encode(ByteBuf) HeadersMultiMap.java","2566","1","12","1520"
"io.vertx.core.http.impl.headers.HeadersMultiMap.encoderHeader(CharSequence, CharSequence, ByteBuf) HeadersMultiMap.java","2553","0.8","63","3040"
"io.netty.buffer.AbstractByteBuf.indexOf(int, int, byte) AbstractByteBuf.java","2382","0.3","40","7604"
