"Method","Time (ms)","Avg. Time (ms)","Own Time (ms)","Count"
"javax.management.openmbean.CompositeDataSupport.<init>(SortedMap, CompositeType) CompositeDataSupport.java","1","< 0.1","1","68"
"org.apache.kafka.common.requests.ProduceRequest.<init>(ProduceRequestData, short) ProduceRequest.java","1","< 0.1","0.3","68"
"kafka.server.CachedPartition.<init>(TopicIdPartition, FetchRequest$PartitionData) FetchSession.scala","1","< 0.1","0.6","65"
"org.apache.kafka.common.utils.ImplicitLinkedHashCollection$HeadElement.<init>(ImplicitLinkedHashCollection$1) ImplicitLinkedHashCollection.java","1","< 0.1","0.7","136"
"org.apache.kafka.common.record.FileRecords.<init>(File, FileChannel, int, int, boolean) FileRecords.java","1","< 0.1","0.4","26"
"org.apache.kafka.common.record.LegacyRecord.<init>(ByteBuffer, Long, TimestampType) LegacyRecord.java","1","< 0.1","1","476"
"scala.collection.mutable.HashMap$$anon$1.<init>(HashMap) HashMap.scala","1","< 0.1","0.6","130"
"kafka.server.DelayedOperation.<init>(long, Option) DelayedOperation.scala","1","< 0.1","0.6","45"
"scala.collection.AbstractSeqView.<init>() SeqView.scala","0.9","< 0.1","0.6","150"
"org.apache.kafka.common.message.ProduceResponseData.<init>() ProduceResponseData.java","0.9","< 0.1","0.3","38"
"kafka.server.CachedPartition.<init>(String, Uuid, int) FetchSession.scala","0.9","< 0.1","0.6","132"
"scala.collection.mutable.ArrayBuffer.<init>() ArrayBuffer.scala","0.8","< 0.1","0.6","69"
"org.apache.kafka.common.TopicIdPartition.<init>(Uuid, TopicPartition) TopicIdPartition.java","0.8","< 0.1","0.8","262"
"org.apache.kafka.common.message.FetchResponseData$SnapshotId.<init>() FetchResponseData.java","0.8","< 0.1","0.8","228"
"scala.collection.mutable.ArrayBuffer$$anon$1.<init>() ArrayBuffer.scala","0.8","< 0.1","0.3","29"
"java.io.FileOutputStream.<init>(File) FileOutputStream.java","0.8","0.8","< 0.1","1"
"java.io.FileOutputStream.<init>(File, boolean) FileOutputStream.java","0.8","0.8","< 0.1","1"
"org.apache.kafka.common.protocol.ByteBufferAccessor.<init>(ByteBuffer) ByteBufferAccessor.java","0.8","< 0.1","0.8","268"
"org.apache.kafka.common.message.FetchResponseData$FetchableTopicResponse.<init>() FetchResponseData.java","0.7","< 0.1","0.7","114"
"org.apache.kafka.common.requests.FetchResponse.<init>(FetchResponseData) FetchResponse.java","0.7","< 0.1","0.5","132"
"org.apache.kafka.common.utils.AbstractIterator.<init>() AbstractIterator.java","0.7","< 0.1","0.7","312"
"kafka.log.OffsetPosition.<init>(long, int) IndexEntry.scala","0.6","< 0.1","0.6","260"
"org.apache.kafka.common.message.FetchResponseData.<init>() FetchResponseData.java","0.6","< 0.1","0.6","114"
"scala.Tuple3.<init>(Object, Object, Object) Tuple3.scala","0.6","< 0.1","0.6","223"
"scala.math.Ordered$$anon$1.<init>(Ordering, Object) Ordered.scala","0.5","< 0.1","0.5","260"
"scala.runtime.IntRef.<init>(int) IntRef.java","0.5","< 0.1","0.5","210"
"scala.collection.mutable.HashMap$$anon$4.<init>(HashMap) HashMap.scala","0.5","< 0.1","0.4","78"
"org.apache.kafka.common.network.ByteBufferSend.<init>(ByteBuffer[], long) ByteBufferSend.java","0.5","< 0.1","0.5","201"
"org.apache.kafka.common.message.FetchResponseData$EpochEndOffset.<init>() FetchResponseData.java","0.5","< 0.1","0.5","228"
"org.apache.kafka.common.message.FetchResponseData$LeaderIdAndEpoch.<init>() FetchResponseData.java","0.5","< 0.1","0.5","228"
"kafka.server.LogOffsetMetadata.<init>(long, long, int) LogOffsetMetadata.scala","0.5","< 0.1","0.5","190"
"scala.collection.mutable.HashMap$HashMapIterator.<init>(HashMap) HashMap.scala","0.5","< 0.1","0.5","208"
"kafka.network.RequestChannel$SendResponse.<init>(RequestChannel$Request, Send, Option, Option) RequestChannel.scala","0.5","< 0.1","0.3","76"
"com.yourkit.an.ar.<init>(Class, String, Class[]) a","0.5","0.5","0.5","1"
"kafka.log.LogAppendInfo.<init>(Option, long, Option, long, long, long, long, RecordConversionStats, CompressionCodec, CompressionCodec, int, int, boolean, long, Seq, String, LeaderHwChange) UnifiedLog.scala","0.5","< 0.1","0.5","136"
"org.apache.kafka.common.requests.ProduceResponse.<init>(ProduceResponseData) ProduceResponse.java","0.5","< 0.1","0.3","68"
"org.apache.kafka.common.message.ProduceResponseData$TopicProduceResponse.<init>() ProduceResponseData.java","0.5","< 0.1","0.5","76"
"org.apache.kafka.common.protocol.MessageSizeAccumulator.<init>() MessageSizeAccumulator.java","0.5","< 0.1","0.5","201"
"scala.collection.mutable.HashMap.<init>() HashMap.scala","0.4","< 0.1","0.1","22"
"org.apache.kafka.common.network.NetworkSend.<init>(String, Send) NetworkSend.java","0.4","< 0.1","0.4","135"
"scala.runtime.BooleanRef.<init>(boolean) BooleanRef.java","0.4","< 0.1","0.4","199"
"kafka.log.LogOffsetSnapshot.<init>(long, LogOffsetMetadata, LogOffsetMetadata, LogOffsetMetadata) UnifiedLog.scala","0.4","< 0.1","0.4","173"
"kafka.server.CachedPartition.<init>(String, Uuid, int, int, long, long, Optional, long, long, Optional) FetchSession.scala","0.4","< 0.1","0.4","197"
"kafka.utils.timer.TimerTaskEntry.<init>(TimerTask, long) TimerTaskList.scala","0.4","< 0.1","0.2","43"
"org.apache.kafka.common.TopicPartition.<init>(String, int) TopicPartition.java","0.4","< 0.1","0.4","154"
"org.apache.kafka.common.record.FileLogInputStream.<init>(FileRecords, int, int) FileLogInputStream.java","0.4","< 0.1","0.4","26"
"kafka.server.IncrementalFetchContext$PartitionIterator.<init>(IncrementalFetchContext, Iterator, boolean) FetchSession.scala","0.4","< 0.1","0.4","132"
"scala.collection.AbstractView.<init>() View.scala","0.4","< 0.1","0.4","183"
"org.apache.kafka.common.record.DefaultRecordsSend.<init>(TransferableRecords) DefaultRecordsSend.java","0.4","< 0.1","0.1","26"
"org.apache.kafka.common.security.auth.PlaintextAuthenticationContext.<init>(InetAddress, String) PlaintextAuthenticationContext.java","0.3","< 0.1","0.3","134"
"kafka.server.LogReadResult.<init>(FetchDataInfo, Option, long, long, long, long, long, Option, Option, Option) ReplicaManager.scala","0.3","< 0.1","0.3","124"
"scala.collection.mutable.AbstractMap.<init>() Map.scala","0.3","< 0.1","0.3","166"
"kafka.log.LogReadInfo.<init>(FetchDataInfo, Option, long, long, long, long) UnifiedLog.scala","0.3","< 0.1","0.3","124"
"org.apache.kafka.common.message.ProduceResponseData$PartitionProduceResponse.<init>() ProduceResponseData.java","0.3","< 0.1","0.3","38"
"scala.collection.View$$anon$1.<init>(Function0) View.scala","0.3","< 0.1","0.3","68"
"org.apache.kafka.common.requests.RequestHeader.<init>(RequestHeaderData, short) RequestHeader.java","0.3","< 0.1","0.3","134"
"org.apache.kafka.common.record.AbstractLegacyRecordBatch$1.<init>(AbstractLegacyRecordBatch) AbstractLegacyRecordBatch.java","0.3","< 0.1","0.3","136"
"kafka.server.TopicPartitionOperationKey.<init>(String, int) DelayedOperationKey.scala","0.3","< 0.1","0.3","126"
"scala.collection.mutable.ArrayBuffer.<init>(Object[], int) ArrayBuffer.scala","0.3","< 0.1","0.3","102"
"scala.collection.mutable.HashMap$Node.<init>(Object, int, Object, HashMap$Node) HashMap.scala","0.3","< 0.1","0.3","122"
"kafka.server.EvictableKey.<init>(boolean, int, int) FetchSession.scala","0.3","< 0.1","0.3","130"
"org.apache.kafka.common.requests.FetchRequest$PartitionData.<init>(Uuid, long, long, int, Optional, Optional) FetchRequest.java","0.3","< 0.1","0.3","130"
"scala.math.Ordering$Tuple2Ordering.<init>(Ordering, Ordering) Ordering.scala","0.3","< 0.1","0.3","130"
"org.apache.kafka.common.requests.RequestContext.<init>(RequestHeader, String, InetAddress, KafkaPrincipal, ListenerName, SecurityProtocol, ClientInformation, boolean, Optional) RequestContext.java","0.3","< 0.1","0.3","134"
"kafka.server.LastUsedKey.<init>(long, int) FetchSession.scala","0.3","< 0.1","0.3","130"
"org.apache.kafka.common.message.ResponseHeaderData.<init>() ResponseHeaderData.java","0.3","< 0.1","0.3","135"
"kafka.server.DelayedOperationPurgatory$Watchers.<init>(DelayedOperationPurgatory, Object) DelayedOperation.scala","0.3","< 0.1","0.3","45"
"scala.math.Ordering$Tuple3Ordering.<init>(Ordering, Ordering, Ordering) Ordering.scala","0.3","< 0.1","0.3","130"
"org.apache.kafka.common.requests.AbstractResponse.<init>(ApiKeys) AbstractResponse.java","0.3","< 0.1","0.3","153"
"scala.collection.mutable.GrowableBuilder.<init>(Growable) GrowableBuilder.scala","0.3","< 0.1","0.3","106"
"org.apache.kafka.common.utils.ImplicitLinkedHashCollection$HeadElement.<init>() ImplicitLinkedHashCollection.java","0.3","< 0.1","0.3","136"
"scala.runtime.ObjectRef.<init>(Object) ObjectRef.java","0.3","< 0.1","0.3","130"
"org.apache.kafka.common.requests.ResponseHeader.<init>(ResponseHeaderData, short) ResponseHeader.java","0.2","< 0.1","0.2","135"
"scala.collection.mutable.HashSet.<init>(int, double) HashSet.scala","0.2","< 0.1","0.2","11"
"scala.runtime.LongRef.<init>(long) LongRef.java","0.2","< 0.1","0.2","129"
"scala.collection.convert.JavaCollectionWrappers$JMapWrapper.<init>(Map) JavaCollectionWrappers.scala","0.2","< 0.1","0.1","23"
"org.apache.kafka.common.requests.RequestAndSize.<init>(AbstractRequest, int) RequestAndSize.java","0.2","< 0.1","0.2","134"
"kafka.server.FetchPartitionData.<init>(Errors, long, long, Records, Option, Option, Option, Option, boolean) ReplicaManager.scala","0.2","< 0.1","0.2","66"
"scala.collection.convert.JavaCollectionWrappers$MapWrapper$$anon$2$$anon$3.<init>(JavaCollectionWrappers$MapWrapper$$anon$2) JavaCollectionWrappers.scala","0.2","< 0.1","< 0.1","11"
"scala.collection.convert.AsScalaExtensions$IterableHasAsScala.<init>(AsScalaExtensions, Iterable) AsScalaExtensions.scala","0.2","< 0.1","0.2","76"
"scala.collection.View$ZipWithIndex.<init>(IterableOps) View.scala","0.2","< 0.1","0.2","68"
"scala.collection.convert.JavaCollectionWrappers$JIterableWrapper.<init>(Iterable) JavaCollectionWrappers.scala","0.2","< 0.1","0.2","76"
"org.apache.kafka.common.record.MultiRecordsSend.<init>(Queue, long) MultiRecordsSend.java","0.2","< 0.1","0.2","66"
"scala.collection.Iterator$$anon$16.<init>(Iterator) Iterator.scala","0.2","< 0.1","0.2","68"
"kafka.server.LogAppendResult.<init>(LogAppendInfo, Option) ReplicaManager.scala","0.2","< 0.1","0.2","68"
"kafka.server.FetchDataInfo.<init>(LogOffsetMetadata, Records, boolean, Option) FetchDataInfo.scala","0.1","< 0.1","0.1","70"
"org.apache.kafka.common.requests.FetchMetadata.<init>(int, int) FetchMetadata.java","0.1","< 0.1","0.1","65"
"kafka.log.RollParams.<init>(long, int, long, long, int, long) UnifiedLog.scala","0.1","< 0.1","0.1","68"
"org.apache.kafka.common.requests.ProduceResponse$PartitionResponse.<init>(Errors, long, long, long, List, String) ProduceResponse.java","0.1","< 0.1","0.1","68"
"kafka.log.LogValidator$ValidationAndOffsetAssignResult.<init>(MemoryRecords, long, long, boolean, RecordConversionStats) LogValidator.scala","0.1","< 0.1","0.1","68"
"org.apache.kafka.common.record.DefaultRecordsSend.<init>(TransferableRecords, int) DefaultRecordsSend.java","0.1","< 0.1","0.1","26"
"sun.management.MemoryUsageCompositeData.<init>(MemoryUsage) MemoryUsageCompositeData.java","0.1","< 0.1","0.1","32"
"kafka.server.IncrementalFetchContext.<init>(Time, FetchMetadata, FetchSession, Map) FetchSession.scala","0.1","< 0.1","0.1","65"
