"Allocation","Object/s (avg.)","Objects Created","Level"
"kafka.server.ReplicaManager$$Lambda$1252.0x00000008014b5920","< 0.1","5","1"
"kafka.utils.KafkaScheduler$$Lambda$1580.0x0000000801529ff0","< 0.1","5","1"
"sun.nio.ch.FileChannelImpl","< 0.1","5","1"
"sun.nio.ch.FileChannelImpl$Closer","< 0.1","5","1"
"sun.nio.ch.FileDispatcherImpl","< 0.1","5","1"
"sun.nio.ch.NativeThreadSet","< 0.1","5","1"
"sun.nio.fs.UnixChannelFactory$Flags","< 0.1","5","1"
"java.lang.ref.SoftReference[]","< 0.1","4","1"
"java.util.concurrent.locks.AbstractQueuedSynchronizer$SharedNode","< 0.1","4","1"
"kafka.log.LogCleanerManager$$Lambda$1594.0x0000000801594c10","< 0.1","4","1"
"kafka.log.LogCleanerManager$$Lambda$1596.0x00000008015ac950","< 0.1","4","1"
"kafka.log.LogCleanerManager$$Lambda$1607.0x00000008015a8e28","< 0.1","4","1"
"kafka.log.LogCleanerManager$$Lambda$1608.0x00000008015be1c0","< 0.1","4","1"
"kafka.log.LogCleanerManager$$Lambda$1616.0x00000008015a9ba0","< 0.1","4","1"
"java.io.BufferedReader","< 0.1","3","1"
"java.io.InputStreamReader","< 0.1","3","1"
"java.lang.ref.WeakReference","< 0.1","3","1"
"java.nio.file.attribute.FileAttribute[]","< 0.1","3","1"
"java.util.WeakHashMap$Entry","< 0.1","3","1"
"java.util.concurrent.locks.ReentrantReadWriteLock$Sync$HoldCounter","< 0.1","3","1"
"kafka.log.LogCleanerManager$$Lambda$1589.0x0000000801595d80","< 0.1","3","1"
"kafka.log.LogCleanerManager$$Lambda$1591.0x000000080159b820","< 0.1","3","1"
"kafka.log.LogCleanerManager$$Lambda$1592.0x00000008015b4c58","< 0.1","3","1"
"kafka.log.PreCleanStats","< 0.1","3","1"
"org.apache.kafka.server.common.CheckpointFile$CheckpointReadBuffer","< 0.1","3","1"
"scala.collection.Iterator$$anon$10","< 0.1","3","1"
"scala.collection.MapOps$KeySet","< 0.1","3","1"
"scala.collection.MapOps$WithFilter","< 0.1","3","1"
"scala.collection.View$FlatMap","< 0.1","3","1"
"scala.collection.convert.AsScalaExtensions$ListHasAsScala","< 0.1","3","1"
"scala.collection.convert.JavaCollectionWrappers$JListWrapper","< 0.1","3","1"
"scala.collection.immutable.MapBuilderImpl","< 0.1","3","1"
"sun.nio.ch.ChannelInputStream","< 0.1","3","1"
"sun.nio.cs.StreamDecoder","< 0.1","3","1"
"sun.nio.cs.UTF_8$Decoder","< 0.1","3","1"
"boolean[]","< 0.1","2","1"
"java.io.FileOutputStream$1","< 0.1","2","1"
"java.nio.channels.spi.AbstractInterruptibleChannel$1","< 0.1","2","1"
"java.nio.file.CopyOption[]","< 0.1","2","1"
"java.util.HashMap$KeySet","< 0.1","2","1"
"java.util.HashMap$ValueIterator","< 0.1","2","1"
"java.util.HashSet","< 0.1","2","1"
"java.util.concurrent.LinkedBlockingDeque$Itr","< 0.1","2","1"
"kafka.cluster.Broker$$Lambda$1646.0x00000008015bf218","< 0.1","2","1"
"kafka.common.InterBrokerSendThread$$Lambda$1640.0x0000000801627b08","< 0.1","2","1"
"kafka.common.InterBrokerSendThread$$Lambda$1641.0x00000008015bc100","< 0.1","2","1"
"kafka.server.AbstractFetcherManager$$Lambda$1620.0x00000008015ba008","< 0.1","2","1"
"kafka.server.IncrementalFetchContext$$Lambda$1288.0x00000008014c5a98","< 0.1","2","1"
"kafka.server.KafkaApis$$Lambda$1259.0x00000008014bc330","< 0.1","2","1"
"kafka.server.KafkaApis$$Lambda$1263.0x00000008014bd018","< 0.1","2","1"
"kafka.server.KafkaApis$$Lambda$1264.0x00000008014bd3d0","< 0.1","2","1"
"kafka.server.KafkaApis$$Lambda$1271.0x00000008014ba000","< 0.1","2","1"
"kafka.server.KafkaApis$$Lambda$1272.0x00000008014ba2a8","< 0.1","2","1"
"kafka.server.KafkaApis$$Lambda$1273.0x00000008014ba4c8","< 0.1","2","1"
"kafka.server.KafkaApis$$Lambda$1278.0x00000008014bb5a8","< 0.1","2","1"
"kafka.server.KafkaApis$$Lambda$1279.0x00000008014bb958","< 0.1","2","1"
"kafka.server.KafkaApis$$Lambda$1280.0x00000008014bbb78","< 0.1","2","1"
"kafka.server.KafkaApis$$Lambda$1281.0x00000008014c4000","< 0.1","2","1"
"kafka.server.MetadataCacheControllerNodeProvider$$Lambda$1647.0x0000000801575b78","< 0.1","2","1"
"kafka.utils.KafkaScheduler$$Lambda$1571.0x00000008015279c8","< 0.1","2","1"
"org.apache.kafka.common.Node","< 0.1","2","1"
"org.apache.kafka.common.requests.FetchResponse$$Lambda$1282.0x00000008014bbd98","< 0.1","2","1"
"org.apache.kafka.common.requests.FetchResponse$$Lambda$1283.0x00000008014c43b8","< 0.1","2","1"
"scala.collection.convert.AsScalaExtensions$SetHasAsScala","< 0.1","2","1"
"scala.collection.convert.JavaCollectionWrappers$JSetWrapper","< 0.1","2","1"
"scala.collection.mutable.AnyRefMap$$anon$1","< 0.1","2","1"
"sun.nio.fs.UnixCopyFile$Flags","< 0.1","2","1"
"sun.nio.fs.UnixPath","< 0.1","2","1"
"com.yourkit.probes.ResourceCounter$MyPhantomReference","< 0.1","1","1"
"com.yourkit.probes.ResourceCounter$Resource","< 0.1","1","1"
"java.io.BufferedWriter","< 0.1","1","1"
"java.io.File","< 0.1","1","1"
"java.io.FileCleanable","< 0.1","1","1"
"java.io.FileOutputStream","< 0.1","1","1"
"java.io.OutputStreamWriter","< 0.1","1","1"
"java.util.HashMap$KeySpliterator","< 0.1","1","1"
"java.util.LinkedHashMap$LinkedValueIterator","< 0.1","1","1"
"java.util.stream.ReferencePipeline$2","< 0.1","1","1"
"java.util.stream.ReferencePipeline$2$1","< 0.1","1","1"
"kafka.cluster.Partition$$Lambda$1058.0x00000008014616a0","< 0.1","1","1"
"kafka.cluster.Partition$$Lambda$1089.0x0000000801472c28","< 0.1","1","1"
"kafka.cluster.Partition$$Lambda$1123.0x0000000801482000","< 0.1","1","1"
"kafka.cluster.Partition$$Lambda$1246.0x00000008014b4000","< 0.1","1","1"
"kafka.cluster.Partition$$Lambda$1249.0x00000008014abd90","< 0.1","1","1"
"kafka.cluster.Partition$$Lambda$1369.0x00000008014e6b40","< 0.1","1","1"
"kafka.cluster.Partition$$Lambda$1438.0x000000080150dcf8","< 0.1","1","1"
"kafka.common.InterBrokerSendThread$$Lambda$1630.0x00000008015b9b38","< 0.1","1","1"
"kafka.common.UnsentRequests$$Lambda$1629.0x00000008015ba920","< 0.1","1","1"
"kafka.log.LogAppendInfo$$Lambda$1361.0x00000008014e4cd8","< 0.1","1","1"
"kafka.log.LogCleaner$CleanerThread$$Lambda$1609.0x00000008015ba4b0","< 0.1","1","1"
"kafka.log.LogCleaner$CleanerThread$$Lambda$1615.0x00000008015bcf70","< 0.1","1","1"
"kafka.log.LogCleanerManager$$$Lambda$1599.0x00000008015a5d58","< 0.1","1","1"
"kafka.log.LogCleanerManager$$$Lambda$1604.0x00000008015be628","< 0.1","1","1"
"kafka.log.LogCleanerManager$$Lambda$1605.0x00000008015bdd58","< 0.1","1","1"
"kafka.log.LogCleanerManager$$Lambda$1606.0x00000008015a89b8","< 0.1","1","1"
"kafka.log.LogSegments$$$Lambda$1598.0x00000008015b03d0","< 0.1","1","1"
"kafka.log.LogSegments$$Lambda$1547.0x00000008015cb808","< 0.1","1","1"
"kafka.log.LogSegments$$Lambda$1552.0x00000008015c6680","< 0.1","1","1"
"kafka.log.LogToClean$$Lambda$1602.0x000000080159bc48","< 0.1","1","1"
"kafka.log.LogValidator$$$Lambda$1353.0x00000008014dd298","< 0.1","1","1"
"kafka.log.LogValidator$$$Lambda$1355.0x00000008014de358","< 0.1","1","1"
"kafka.log.LogValidator$$$Lambda$1356.0x00000008014df0b8","< 0.1","1","1"
"kafka.log.LogValidator$$$Lambda$1357.0x00000008014df620","< 0.1","1","1"
"kafka.log.ProducerStateManager$$Lambda$1550.0x00000008015b07a8","< 0.1","1","1"
"kafka.log.ProducerStateManager$$Lambda$1551.0x00000008015c62c8","< 0.1","1","1"
"kafka.log.UnifiedLog$$Lambda$1524.0x000000080158fa08","< 0.1","1","1"
"kafka.log.UnifiedLog$$Lambda$1528.0x0000000801531970","< 0.1","1","1"
"kafka.log.UnifiedLog$$Lambda$1612.0x00000008015bade8","< 0.1","1","1"
"kafka.network.Processor$$Lambda$1499.0x000000080155c578","< 0.1","1","1"
"kafka.network.Processor$$Lambda$1501.0x0000000801554148","< 0.1","1","1"
"kafka.server.ControllerInformation","< 0.1","1","1"
"kafka.server.DelayedFetch$$Lambda$1498.0x0000000801553d38","< 0.1","1","1"
"kafka.server.KafkaApis$$Lambda$1343.0x00000008014d4ff0","< 0.1","1","1"
"kafka.server.KafkaApis$$Lambda$1344.0x00000008014d5210","< 0.1","1","1"
"kafka.server.KafkaApis$$Lambda$1345.0x00000008014d56c0","< 0.1","1","1"
"kafka.server.KafkaApis$$Lambda$1346.0x00000008014d5a78","< 0.1","1","1"
"kafka.server.KafkaApis$$Lambda$1376.0x00000008014e83b0","< 0.1","1","1"
"kafka.server.KafkaApis$$Lambda$1377.0x00000008014e8948","< 0.1","1","1"
"kafka.server.KafkaApis$$Lambda$1379.0x00000008014e9290","< 0.1","1","1"
"kafka.server.KafkaApis$$Lambda$1380.0x00000008014e9828","< 0.1","1","1"
"kafka.server.KafkaApis$$Lambda$1445.0x000000080152ef40","< 0.1","1","1"
"kafka.server.KafkaApis$$Lambda$1446.0x0000000801508b78","< 0.1","1","1"
"kafka.server.KafkaApis$$Lambda$1447.0x0000000801510390","< 0.1","1","1"
"kafka.server.KafkaApis$$Lambda$1451.0x000000080150c370","< 0.1","1","1"
"kafka.server.KafkaApis$$Lambda$1455.0x00000008015051c8","< 0.1","1","1"
"kafka.server.KafkaApis$$Lambda$1456.0x0000000801505578","< 0.1","1","1"
"kafka.server.KafkaApis$$Lambda$961.0x000000080143a038","< 0.1","1","1"
"kafka.server.MetadataCacheControllerNodeProvider$$Lambda$1642.0x00000008015bbbf0","< 0.1","1","1"
"kafka.server.ReplicaManager$$Lambda$1406.0x000000080153cfc8","< 0.1","1","1"
"kafka.server.ReplicaManager$$Lambda$1509.0x0000000801555078","< 0.1","1","1"
"kafka.server.ReplicaManager$$Lambda$1510.0x00000008015508c0","< 0.1","1","1"
"kafka.server.ReplicaManager$$Lambda$1573.0x00000008015b0000","< 0.1","1","1"
"kafka.server.ReplicaManager$$Lambda$1575.0x000000080154f0b0","< 0.1","1","1"
"kafka.server.ReplicaManager$$Lambda$1577.0x000000080153e638","< 0.1","1","1"
"kafka.server.ReplicaManager$$Lambda$1578.0x0000000801524c88","< 0.1","1","1"
"kafka.server.ReplicaManager$$Lambda$1579.0x00000008015dfc10","< 0.1","1","1"
"kafka.server.epoch.LeaderEpochFileCache$$Lambda$1546.0x00000008015c6a38","< 0.1","1","1"
"kafka.server.metadata.ZkMetadataCache$$Lambda$1644.0x00000008015c34d0","< 0.1","1","1"
"kafka.server.metadata.ZkMetadataCache$$Lambda$1645.0x00000008015c3a50","< 0.1","1","1"
"org.apache.kafka.clients.ClusterConnectionStates$$Lambda$1628.0x0000000801529620","< 0.1","1","1"
"org.apache.kafka.common.requests.ProduceRequest$$Lambda$1385.0x00000008014eaa00","< 0.1","1","1"
"org.apache.kafka.common.requests.ProduceRequest$$Lambda$1386.0x00000008014eac20","< 0.1","1","1"
"org.apache.kafka.common.requests.ProduceRequest$$Lambda$1387.0x00000008014eae40","< 0.1","1","1"
"org.apache.kafka.common.requests.ProduceResponse$$Lambda$1381.0x00000008014ea178","< 0.1","1","1"
"org.apache.kafka.common.requests.ProduceResponse$$Lambda$1383.0x00000008014ea5c0","< 0.1","1","1"
"org.apache.kafka.common.requests.ProduceResponse$$Lambda$1384.0x00000008014ea7e0","< 0.1","1","1"
"scala.collection.mutable.AnyRefMap","< 0.1","1","1"
"scala.runtime.NonLocalReturnControl$mcV$sp","< 0.1","1","1"
"sun.nio.cs.StreamEncoder","< 0.1","1","1"
"sun.nio.cs.UTF_8$Encoder","< 0.1","1","1"
