"Method","Time (ms)","Avg. Time (ms)","Own Time (ms)","Count"
"java.util.Formatter$FormatSpecifier.print(int, Locale) Formatter.java","173","1","0.7","165"
"org.takes.http.BkBasic.addSocketHeaders(Request, Socket) BkBasic.java","172","3","2","55"
"org.cactoos.text.Lowered.<init>(Text) Lowered.java","170","< 0.1","13","3960"
"org.cactoos.text.TextOf.<init>(Scalar) TextOf.java","164","< 0.1","71","13640"
"java.util.concurrent.locks.AbstractQueuedSynchronizer.release(int) AbstractQueuedSynchronizer.java","160","< 0.1","54","8030"
"org.cactoos.text.Lowered.<init>(Text, Locale) Lowered.java","156","< 0.1","27","3960"
"sun.nio.ch.Util.offerFirstTemporaryDirectBuffer(ByteBuffer) Util.java","156","< 0.1","70","7920"
"java.net.Socket$SocketInputStream.available() Socket.java","152","< 0.1","31","7315"
"org.cactoos.text.FormattedText.<init>(String, Object[]) FormattedText.java","151","0.2","3","660"
"org.cactoos.iterator.IteratorEnvelope.next() IteratorEnvelope.java","144","0.2","1","495"
"org.cactoos.iterator.Mapped$1.next() Mapped.java","142","0.2","5","495"
"java.util.regex.Matcher.matches() Matcher.java","142","0.2","1","495"
"java.util.regex.Matcher.match(int, int) Matcher.java","141","0.2","2","495"
"java.util.regex.Pattern$BmpCharPropertyGreedy.match(Matcher, int, CharSequence) Pattern.java","134","0.1","15","715"
"org.cactoos.bytes.BytesOf.<init>(CharSequence, Charset) BytesOf.java","131","< 0.1","56","10835"
"org.cactoos.text.TextOf.<init>(Text) TextOf.java","126","< 0.1","84","24640"
"org.takes.rs.RsWrap.head() RsWrap.java","122","0.1","2","660"
"org.takes.rs.ResponseOf.head() ResponseOf.java","122","0.2","1","440"
"org.takes.rs.RsWithHeader.lambda$new$1(Response, Scalar) RsWithHeader.java","121","0.7","1","165"
"sun.nio.ch.NioSocketImpl$1.available() NioSocketImpl.java","120","< 0.1","32","7315"
"java.util.stream.IntPipeline.findFirst() IntPipeline.java","119","0.1","4","660"
"org.cactoos.text.TextOf.lambda$new$0(Bytes, Charset) TextOf.java","115","< 0.1","45","10725"
"org.cactoos.scalar.ScalarEnvelope.value() ScalarEnvelope.java","115","0.2","1","495"
"java.util.stream.AbstractPipeline.evaluate(TerminalOp) AbstractPipeline.java","113","0.1","6","660"
"org.cactoos.scalar.Mapped.lambda$new$0(Func, Scalar) Mapped.java","113","0.2","2","495"
"org.takes.rq.RqLive.legalCharacter(Opt, ByteArrayOutputStream, Integer) RqLive.java","111","< 0.1","64","7260"
"org.cactoos.text.FormattedText.lambda$new$0(Locale, Collection, String) FormattedText.java","110","0.2","3","385"
