"Method","Time (ms)","Avg. Time (ms)","Own Time (ms)","Count"
"java.nio.StringCharBuffer.<init>(CharSequence, int, int) StringCharBuffer.java","5513","< 0.1","857","195113"
"org.apache.derby.impl.jdbc.EmbedResultSet.rowUpdated() EmbedResultSet.java","5480","< 0.1","2110","194148"
"org.apache.derby.impl.drda.DRDAStatement.isScrollable() DRDAStatement.java","5026","< 0.1","3361","776844"
"org.apache.derby.impl.sql.compile.InsertNode.bindStatement() InsertNode.java","5022","77","14","65"
"org.apache.derby.impl.jdbc.ConnectionChild.handleException(Throwable) ConnectionChild.java","4764","31","0","149"
"org.apache.derby.impl.jdbc.EmbedConnection.handleException(Throwable) EmbedConnection.java","4764","31","0","149"
"org.apache.derby.impl.jdbc.TransactionResourceImpl.handleException(Throwable, boolean, boolean) TransactionResourceImpl.java","4763","31","0","149"
"org.apache.derby.impl.jdbc.EmbedConnection.checkIfClosed() EmbedConnection.java","4715","< 0.1","856","197442"
"org.apache.derby.impl.jdbc.ConnectionChild.restoreContextStack() ConnectionChild.java","4686","< 0.1","861","195302"
"java.nio.CharBuffer.<init>(int, int, int, int, MemorySegmentProxy) CharBuffer.java","4656","< 0.1","850","195113"
"org.apache.derby.impl.services.locks.ConcurrentPool.zeroDurationlockObject(CompatibilitySpace, Lockable, Object, int) ConcurrentPool.java","4650","< 0.1","846","194647"
"org.apache.derby.impl.jdbc.TransactionResourceImpl.cleanupOnError(Throwable, boolean) TransactionResourceImpl.java","4527","30","0.8","149"
"org.apache.derby.iapi.services.context.ContextManager.cleanupOnError(Throwable, boolean) ContextManager.java","4526","30","4","149"
"org.apache.derby.impl.sql.conn.GenericStatementContext.cleanupOnError(Throwable) GenericStatementContext.java","4485","30","2","149"
"org.apache.derby.impl.sql.conn.GenericLanguageConnectionContext.internalRollbackToSavepoint(String, boolean, Object) GenericLanguageConnectionContext.java","4468","34","1","128"
"org.apache.derby.impl.store.access.RAMTransaction.rollbackToSavePoint(String, boolean, Object) RAMTransaction.java","4466","34","0.7","128"
"org.apache.derby.impl.store.raw.xact.Xact.rollbackToSavePoint(String, Object) Xact.java","4465","34","1","128"
"org.apache.derby.impl.store.raw.xact.Xact.popSavePoints(int, boolean) Xact.java","4460","9","4","449"
