"Method","Time (ms)","Avg. Time (ms)","Own Time (ms)","Count"
"reactor.core.publisher.FluxFlatMap$FlatMapMain.drainLoop() FluxFlatMap.java","12247","1","124","6930"
"reactor.core.publisher.FluxFlatMap$FlatMapMain.drain(Object) FluxFlatMap.java","12233","1","45","7623"
"reactor.core.publisher.FluxOnErrorResume$ResumeSubscriber.onNext(Object) FluxOnErrorResume.java","11724","8","9","1386"
"reactor.core.publisher.FluxContextWrite$ContextWriteSubscriber.onNext(Object) FluxContextWrite.java","11136","16","3","693"
"reactor.core.publisher.StrictSubscriber.onNext(Object) StrictSubscriber.java","11111","16","9","693"
"io.micronaut.core.async.subscriber.CompletionAwareSubscriber.onNext(Object) CompletionAwareSubscriber.java","11085","15","5","693"
"io.micronaut.http.server.netty.RoutingInBoundHandler$2.doOnNext(Object) RoutingInBoundHandler.java","11078","15","3","693"
"io.micronaut.http.server.netty.RoutingInBoundHandler$2.doOnNext(HttpResponse) RoutingInBoundHandler.java","11075","15","11","693"
"io.micronaut.http.server.netty.RoutingInBoundHandler.encodeHttpResponse(ChannelHandlerContext, NettyHttpRequest, MutableHttpResponse, Argument, Object) RoutingInBoundHandler.java","10802","15","7","693"
"io.micronaut.http.server.netty.RoutingInBoundHandler.writeFinalNettyResponse(MutableHttpResponse, HttpRequest, ChannelHandlerContext) RoutingInBoundHandler.java","9511","13","31","693"
"io.micronaut.http.server.netty.RoutingInBoundHandler.syncWriteAndFlushNettyResponse(ChannelHandlerContext, HttpRequest, HttpResponse, GenericFutureListener) RoutingInBoundHandler.java","9158","13","8","693"
"io.netty.channel.AbstractChannelHandlerContext.writeAndFlush(Object) AbstractChannelHandlerContext.java","8523","12","5","693"
"io.netty.channel.AbstractChannelHandlerContext.writeAndFlush(Object, ChannelPromise) AbstractChannelHandlerContext.java","8475","6","6","1386"
"io.netty.channel.AbstractChannelHandlerContext.write(Object, boolean, ChannelPromise) AbstractChannelHandlerContext.java","8472","1","133","7599"
"io.netty.channel.AbstractChannelHandlerContext.invokeWriteAndFlush(Object, ChannelPromise) AbstractChannelHandlerContext.java","8359","6","12","1386"
"io.netty.channel.AbstractChannelHandlerContext.invokeFlush0() AbstractChannelHandlerContext.java","8201","1","33","4851"
"io.netty.channel.ChannelOutboundHandlerAdapter.flush(ChannelHandlerContext) ChannelOutboundHandlerAdapter.java","8194","3","9","2079"
"io.netty.channel.AbstractChannelHandlerContext.flush() AbstractChannelHandlerContext.java","8191","2","37","3465"
"io.netty.channel.AbstractChannelHandlerContext.invokeFlush() AbstractChannelHandlerContext.java","8119","2","22","3465"
"io.netty.handler.stream.ChunkedWriteHandler.flush(ChannelHandlerContext) ChunkedWriteHandler.java","8107","11","3","693"
"io.netty.handler.stream.ChunkedWriteHandler.doFlush(ChannelHandlerContext) ChunkedWriteHandler.java","8103","11","20","694"
"io.netty.channel.AbstractChannelHandlerContext.write(Object, ChannelPromise) AbstractChannelHandlerContext.java","7824","1","27","6213"
"io.netty.channel.AbstractChannelHandlerContext.invokeWrite0(Object, ChannelPromise) AbstractChannelHandlerContext.java","7724","1","53","7599"
"io.netty.channel.AbstractChannelHandlerContext.invokeWrite(Object, ChannelPromise) AbstractChannelHandlerContext.java","7598","1","40","6213"
"io.micronaut.http.netty.stream.HttpStreamsServerHandler.write(ChannelHandlerContext, Object, ChannelPromise) HttpStreamsServerHandler.java","7567","10","3","693"
"io.micronaut.http.netty.stream.HttpStreamsHandler.write(ChannelHandlerContext, Object, ChannelPromise) HttpStreamsHandler.java","7563","10","11","693"
"io.micronaut.http.netty.stream.HttpStreamsHandler.proceedWriteOutgoing(ChannelHandlerContext) HttpStreamsHandler.java","7538","10","17","693"
"io.micronaut.http.netty.stream.HttpStreamsServerHandler.unbufferedWrite(ChannelHandlerContext, HttpMessage, ChannelPromise) HttpStreamsServerHandler.java","7486","10","3","693"
"io.micronaut.http.netty.stream.HttpStreamsServerHandler.unbufferedWrite(ChannelHandlerContext, HttpResponse, ChannelPromise) HttpStreamsServerHandler.java","7482","10","12","693"
"io.micronaut.http.netty.stream.HttpStreamsHandler.unbufferedWrite(ChannelHandlerContext, HttpMessage, ChannelPromise) HttpStreamsHandler.java","7371","10","5","693"
"io.netty.handler.codec.http.websocketx.extensions.WebSocketServerExtensionHandler.write(ChannelHandlerContext, Object, ChannelPromise) WebSocketServerExtensionHandler.java","5673","8","3","693"
"io.netty.handler.codec.http.websocketx.extensions.WebSocketServerExtensionHandler.onHttpResponseWrite(ChannelHandlerContext, HttpResponse, ChannelPromise) WebSocketServerExtensionHandler.java","5669","8","8","693"
"io.netty.handler.codec.MessageToMessageEncoder.write(ChannelHandlerContext, Object, ChannelPromise) MessageToMessageEncoder.java","5663","4","22","1386"
"io.netty.channel.ChannelDuplexHandler.write(ChannelHandlerContext, Object, ChannelPromise) ChannelDuplexHandler.java","5651","4","6","1386"
"io.netty.handler.codec.MessageToMessageCodec.write(ChannelHandlerContext, Object, ChannelPromise) MessageToMessageCodec.java","5522","7","3","693"
"io.netty.handler.codec.http.HttpServerKeepAliveHandler.write(ChannelHandlerContext, Object, ChannelPromise) HttpServerKeepAliveHandler.java","4988","7","12","693"
"io.netty.channel.CombinedChannelDuplexHandler.write(ChannelHandlerContext, Object, ChannelPromise) CombinedChannelDuplexHandler.java","4641","6","3","693"
"io.netty.handler.codec.http.HttpObjectEncoder.write(ChannelHandlerContext, Object, ChannelPromise) HttpObjectEncoder.java","4637","6","7","693"
"io.netty.handler.codec.ByteToMessageDecoder.callDecode(ChannelHandlerContext, ByteBuf, List) ByteToMessageDecoder.java","3518","5","21","693"
"io.netty.handler.codec.ByteToMessageDecoder.decodeRemovalReentryProtection(ChannelHandlerContext, ByteBuf, List) ByteToMessageDecoder.java","3479","5","4","693"
"io.netty.handler.codec.http.HttpServerCodec$HttpServerRequestDecoder.decode(ChannelHandlerContext, ByteBuf, List) HttpServerCodec.java","3475","5","16","693"
"io.netty.handler.codec.http.HttpObjectDecoder.decode(ChannelHandlerContext, ByteBuf, List) HttpObjectDecoder.java","3442","4","23","693"
"io.netty.handler.codec.http.HttpObjectEncoder.encode(ChannelHandlerContext, Object, List) HttpObjectEncoder.java","3188","4","3","693"
"io.netty.handler.codec.http.HttpObjectEncoder.encodeFullHttpMessage(ChannelHandlerContext, Object, List) HttpObjectEncoder.java","3184","4","31","693"
"io.netty.channel.AbstractChannelHandlerContext.executor() AbstractChannelHandlerContext.java","3048","< 0.1","836","131075"
"io.netty.handler.codec.http.HttpObjectDecoder.readHeaders(ByteBuf) HttpObjectDecoder.java","2512","3","60","693"
"io.netty.handler.codec.http.HttpObjectEncoder.encodeHeaders(HttpHeaders, ByteBuf) HttpObjectEncoder.java","2243","3","37","693"
"io.netty.handler.codec.http.HttpHeadersEncoder.encoderHeader(CharSequence, CharSequence, ByteBuf) HttpHeadersEncoder.java","2156","0.7","58","2772"
"io.netty.handler.codec.http.HttpObjectDecoder$HeaderParser.parse(ByteBuf) HttpObjectDecoder.java","2059","0.5","71","3465"
"io.netty.channel.AbstractChannelHandlerContext.skipContext(AbstractChannelHandlerContext, EventExecutor, int, int) AbstractChannelHandlerContext.java","1630","< 0.1","272","69373"
"io.netty.channel.AbstractChannelHandlerContext.findContextOutbound(int) AbstractChannelHandlerContext.java","1602","< 0.1","171","17309"
"io.netty.channel.ChannelDuplexHandler.flush(ChannelHandlerContext) ChannelDuplexHandler.java","1558","2","3","693"
"io.netty.channel.CombinedChannelDuplexHandler.flush(ChannelHandlerContext) CombinedChannelDuplexHandler.java","1558","1","6","1386"
"io.netty.channel.CombinedChannelDuplexHandler$DelegatingChannelHandlerContext.flush() CombinedChannelDuplexHandler.java","1545","1","6","1386"
"io.netty.handler.codec.http.HttpHeadersEncoder.writeAscii(ByteBuf, int, CharSequence) HttpHeadersEncoder.java","1463","0.2","30","5544"
"io.netty.handler.codec.http.HttpObjectEncoder.writeOutList(ChannelHandlerContext, List, ChannelPromise) HttpObjectEncoder.java","1439","2","5","693"
"io.netty.handler.codec.http.HttpObjectEncoder.writePromiseCombiner(ChannelHandlerContext, List, ChannelPromise) HttpObjectEncoder.java","1409","2","14","681"
"io.micronaut.http.server.RouteExecutor.lambda$createResponseForBody$21(RouteInfo, MutableHttpResponse) RouteExecutor.java","1407","2","9","693"
"io.netty.channel.nio.AbstractNioChannel.eventLoop() AbstractNioChannel.java","1385","< 0.1","554","131076"
"io.netty.buffer.AbstractByteBuf.checkIndex(int, int) AbstractByteBuf.java","1357","< 0.1","178","25630"
"io.netty.channel.DefaultChannelPipeline$HeadContext.flush(ChannelHandlerContext) DefaultChannelPipeline.java","1344","0.9","6","1386"
"io.netty.channel.AbstractChannel$AbstractUnsafe.flush() AbstractChannel.java","1337","0.9","12","1386"
"io.micronaut.http.server.RouteExecutor.applyConfiguredHeaders(MutableHttpHeaders) RouteExecutor.java","1330","1","16","693"
"io.netty.channel.nio.AbstractNioChannel$AbstractNioUnsafe.flush0() AbstractNioChannel.java","1294","0.9","9","1386"
"io.micronaut.http.server.netty.RoutingInBoundHandler.encodeResponseBody(ChannelHandlerContext, HttpRequest, MutableHttpResponse, Argument, Object) RoutingInBoundHandler.java","1281","1","24","693"
"io.netty.channel.CombinedChannelDuplexHandler$DelegatingChannelHandlerContext.write(Object) CombinedChannelDuplexHandler.java","1281","0.9","6","1362"
"io.netty.channel.AbstractChannelHandlerContext.write(Object) AbstractChannelHandlerContext.java","1274","0.9","8","1362"
"io.netty.buffer.AbstractByteBuf.ensureAccessible() AbstractByteBuf.java","1271","< 0.1","197","42263"
"io.netty.channel.AbstractChannel$AbstractUnsafe.flush0() AbstractChannel.java","1252","0.9","9","1386"
"io.netty.channel.AbstractChannelHandlerContext.read() AbstractChannelHandlerContext.java","1227","0.1","67","6245"
"io.netty.channel.socket.nio.NioSocketChannel.doWrite(ChannelOutboundBuffer) NioSocketChannel.java","1226","1","24","693"
"io.netty.buffer.AbstractByteBuf.setCharSequence(int, CharSequence, Charset) AbstractByteBuf.java","1126","0.4","11","2772"
"io.netty.buffer.AbstractByteBuf.setCharSequence0(int, CharSequence, Charset, boolean) AbstractByteBuf.java","1114","0.4","21","2772"
"io.netty.channel.AbstractChannelHandlerContext.findContextInbound(int) AbstractChannelHandlerContext.java","1097","< 0.1","119","15964"
"io.netty.buffer.AbstractReferenceCountedByteBuf.isAccessible() AbstractReferenceCountedByteBuf.java","1073","< 0.1","195","42263"
"io.micronaut.http.netty.NettyHttpHeaders.date(LocalDateTime) NettyHttpHeaders.java","1036","1","7","693"
"io.netty.buffer.AbstractByteBufAllocator.directBuffer(int) AbstractByteBufAllocator.java","1020","0.4","11","2068"
"io.netty.buffer.AbstractByteBuf.indexOf(int, int, byte) AbstractByteBuf.java","1013","0.2","17","3465"
"io.netty.buffer.AbstractByteBufAllocator.directBuffer(int, int) AbstractByteBufAllocator.java","1009","0.4","17","2068"
"io.netty.buffer.ByteBufUtil.firstIndexOf(AbstractByteBuf, int, int, byte) ByteBufUtil.java","996","0.2","116","3465"
"io.netty.buffer.PooledByteBufAllocator.newDirectBuffer(int, int) PooledByteBufAllocator.java","974","0.4","23","2068"
"io.netty.handler.timeout.IdleStateHandler.write(ChannelHandlerContext, Object, ChannelPromise) IdleStateHandler.java","963","0.7","12","1374"
