"Method","Time (ms)","Avg. Time (ms)","Own Time (ms)","Count"
"org.apache.derby.iapi.store.raw.FetchDescriptor.<init>(int, FormatableBitSet, Qualifier[][]) FetchDescriptor.java","20","< 0.1","5","992"
"org.apache.derby.impl.sql.execute.IndexRow.<init>(int) IndexRow.java","18","< 0.1","10","989"
"org.apache.derby.impl.store.raw.data.RecordId.<init>(ContainerKey, long, int) RecordId.java","13","< 0.1","10","983"
"java.util.AbstractMap.<init>() AbstractMap.java","2","< 0.1","2","952"
"org.apache.derby.impl.store.raw.data.PageBasicOperation.<init>(BasePage) PageBasicOperation.java","2","< 0.1","2","915"
"org.apache.derby.impl.sql.GenericParameter.<init>(GenericParameterValueSet, boolean) GenericParameter.java","3","< 0.1","3","896"
"java.util.ResourceBundle$KeyElementReference.<init>(Object, ReferenceQueue, ResourceBundle$CacheKey) ResourceBundle.java","10","< 0.1","4","886"
"org.apache.derby.impl.store.access.conglomerate.RowPosition.<init>() RowPosition.java","2","< 0.1","2","853"
"java.util.concurrent.ConcurrentHashMap$BaseIterator.<init>(ConcurrentHashMap$Node[], int, int, int, ConcurrentHashMap) ConcurrentHashMap.java","1228","1","6","840"
"java.util.concurrent.ConcurrentHashMap$Traverser.<init>(ConcurrentHashMap$Node[], int, int, int) ConcurrentHashMap.java","2","< 0.1","2","840"
"java.util.concurrent.ConcurrentHashMap$ValueIterator.<init>(ConcurrentHashMap$Node[], int, int, int, ConcurrentHashMap) ConcurrentHashMap.java","1233","1","4","840"
"org.apache.derby.impl.services.locks.LockControl.<init>(Lock, Lockable) LockControl.java","2","< 0.1","2","802"
"java.io.InputStream.<init>() InputStream.java","1","< 0.1","1","792"
"java.util.LinkedList$Node.<init>(LinkedList$Node, Object, LinkedList$Node) LinkedList.java","2","< 0.1","2","786"
"java.io.DataOutputStream.<init>(OutputStream) DataOutputStream.java","18","< 0.1","7","785"
"java.io.FilterOutputStream.<init>(OutputStream) FilterOutputStream.java","10","< 0.1","9","785"
"org.apache.derby.impl.store.raw.xact.XactId.<init>() XactId.java","2","< 0.1","2","785"
"org.apache.derby.iapi.types.SQLLongint.<init>(long) SQLLongint.java","9","< 0.1","3","757"
"java.util.HashMap$HashIterator.<init>(HashMap) HashMap.java","1","< 0.1","1","621"
"org.apache.derby.impl.store.access.btree.OpenBTree.<init>() OpenBTree.java","1","< 0.1","1","581"
"org.apache.derby.impl.store.access.btree.index.B2IUndo.<init>() B2IUndo.java","1","< 0.1","1","580"
"java.util.AbstractSet.<init>() AbstractSet.java","4","< 0.1","3","577"
"org.apache.derby.iapi.services.io.FormatIdOutputStream.<init>(OutputStream) FormatIdOutputStream.java","16","< 0.1","3","561"
"org.apache.derby.iapi.services.context.ContextImpl.<init>(ContextManager, String) ContextImpl.java","34","< 0.1","2","560"
"java.util.ArrayList.<init>(Collection) ArrayList.java","20","< 0.1","4","553"
"org.apache.derby.impl.store.raw.data.PhysicalPageOperation.<init>(BasePage) PhysicalPageOperation.java","4","< 0.1","2","550"
"java.lang.String.<init>(byte[], int, int, String) String.java","35","< 0.1","4","526"
"java.lang.String.<init>(byte[], int, int, Charset) String.java","18","< 0.1","7","526"
"org.apache.derby.impl.store.access.btree.index.B2IRowLocking3.<init>(Transaction, int, LockingPolicy, ConglomerateController, OpenBTree) B2IRowLocking3.java","1","< 0.1","1","525"
"org.apache.derby.impl.store.access.btree.SearchParameters.<init>(DataValueDescriptor[], int, DataValueDescriptor[], OpenBTree, boolean) SearchParameters.java","1","< 0.1","1","524"
"org.apache.derby.impl.store.raw.data.StoredRecordHeader.<init>() StoredRecordHeader.java","1","< 0.1","1","505"
"org.apache.derby.impl.store.raw.xact.TransactionTableEntry.<init>(Xact, TransactionId, int, int) TransactionTableEntry.java","1","< 0.1","1","504"
"org.apache.derby.impl.store.raw.xact.XactId.<init>(long) XactId.java","1","< 0.1","1","504"
"org.apache.derby.impl.services.bytecode.BCMethodDescriptor.<init>(String[], String, BCJava) BCMethodDescriptor.java","91","0.1","2","476"
"org.apache.derby.impl.sql.compile.ValueNode.<init>(ContextManager) ValueNode.java","3","< 0.1","2","459"
"java.util.HashMap.<init>(int, float) HashMap.java","6","< 0.1","4","457"
"java.util.HashMap$KeyIterator.<init>(HashMap) HashMap.java","3","< 0.1","2","449"
"org.apache.derby.iapi.types.SQLLongint.<init>() SQLLongint.java","5","< 0.1","2","449"
